标志,ID,回合,特殊内容,背景,通关条件
#,1,3,艾丝使用残雪禁足所有友方角色,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,2,3,艾丝使用残雪禁足所有友方角色,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,3,5,维奥莱特骇入过热所有敌方角色,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,4,5,维奥莱特骇入过热所有敌方角色,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,5,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,6,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,7,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,8,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,9,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,10,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,11,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,12,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,13,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,14,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,15,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,16,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,17,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,18,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,19,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
#,20,20,敌方帝国增援游戏失败,觉醒者夺取黑键的医疗物资,敌方增援（20回合）前消灭所有敌人
